0 OPEN 
4894 RULE dbdc342f3d4f7725f91a0be890ef88eb_40928d76350dfd36ef81e8096cbfcd_8afb1b0ac63a4c45fbe581f025eb9201_b5a6dd0192c1e1de7b6197f7c03012cf_8afb1b0ac63a4c45fbe581f025eb9201
4915 NODE b5a6dd0192c1e1de7b6197f7c03012cf_8afb1b0ac63a4c45fbe581f025eb9201
4955 RULE 70cc981e905ae18e1c6074578475b6a5_b5a6dd0192c1e1de7b6197f7c03012cf_8afb1b0ac63a4c45fbe581f025eb9201_8acb97f67ccf917f1740bdf5d65b38dd_8afb1b0ac63a4c45fbe581f025eb9201
4976 NODE 8acb97f67ccf917f1740bdf5d65b38dd_8afb1b0ac63a4c45fbe581f025eb9201
5016 RULE 433cccb048ba21c7067c9a82da6e3286_8acb97f67ccf917f1740bdf5d65b38dd_8afb1b0ac63a4c45fbe581f025eb9201_ffb47581ad621439fee965e232405e8f_8afb1b0ac63a4c45fbe581f025eb9201
5036 NODE ffb47581ad621439fee965e232405e8f_8afb1b0ac63a4c45fbe581f025eb9201
5077 RULE a53a12e87c6fc763bb9ed8bd1188ff98_ffb47581ad621439fee965e232405e8f_8afb1b0ac63a4c45fbe581f025eb9201_6bb29a4870d817d95d22bef3f6ab8b3a_8afb1b0ac63a4c45fbe581f025eb9201
5097 NODE 6bb29a4870d817d95d22bef3f6ab8b3a_8afb1b0ac63a4c45fbe581f025eb9201
5144 RULE d820eb40bb79466f33bf732077f800f2_6bb29a4870d817d95d22bef3f6ab8b3a_8afb1b0ac63a4c45fbe581f025eb9201_e35486167811963ea0ba2fdc47771e93_8afb1b0ac63a4c45fbe581f025eb9201
5164 NODE e35486167811963ea0ba2fdc47771e93_8afb1b0ac63a4c45fbe581f025eb9201
5203 RULE fcc932f6797bec5c4fa9a0919113472d_e35486167811963ea0ba2fdc47771e93_8afb1b0ac63a4c45fbe581f025eb9201_39fd3b888cfe3e9f1ba3b9a291da3952_8afb1b0ac63a4c45fbe581f025eb9201
5223 NODE 39fd3b888cfe3e9f1ba3b9a291da3952_8afb1b0ac63a4c45fbe581f025eb9201
5262 RULE cea77a2f7339b0ebc29955a3edd3ade3_39fd3b888cfe3e9f1ba3b9a291da3952_8afb1b0ac63a4c45fbe581f025eb9201_5887de666afbc8469cccbdd9082b94f_8afb1b0ac63a4c45fbe581f025eb9201
5282 NODE 5887de666afbc8469cccbdd9082b94f_8afb1b0ac63a4c45fbe581f025eb9201
5321 RULE 5c77170dd57aa6fc00c17ee3c7e78ccd_5887de666afbc8469cccbdd9082b94f_8afb1b0ac63a4c45fbe581f025eb9201_9f07e8c4ed8b4c5b0d5ccb4e8672db15_8afb1b0ac63a4c45fbe581f025eb9201
5341 NODE 9f07e8c4ed8b4c5b0d5ccb4e8672db15_8afb1b0ac63a4c45fbe581f025eb9201
5381 RULE 44e79f6e5f7ec0e72ac752e206072049_9f07e8c4ed8b4c5b0d5ccb4e8672db15_8afb1b0ac63a4c45fbe581f025eb9201_1930134daf96903998e0609b5ee4673c_8afb1b0ac63a4c45fbe581f025eb9201
5408 NODE 1930134daf96903998e0609b5ee4673c_8afb1b0ac63a4c45fbe581f025eb9201
5504 RULE 1b3ac4a3e11306e0d82035f93c09b566_1930134daf96903998e0609b5ee4673c_8afb1b0ac63a4c45fbe581f025eb9201_4ca46307788f1b00c2022e35bfea662f_8afb1b0ac63a4c45fbe581f025eb9201
5524 NODE 4ca46307788f1b00c2022e35bfea662f_8afb1b0ac63a4c45fbe581f025eb9201
5574 RULE 8103c8bf9e8e847e011a1bdf68fd2364_4ca46307788f1b00c2022e35bfea662f_8afb1b0ac63a4c45fbe581f025eb9201_2024324122efea3648b6bd5b7b6c8547_8afb1b0ac63a4c45fbe581f025eb9201
5596 NODE 2024324122efea3648b6bd5b7b6c8547_8afb1b0ac63a4c45fbe581f025eb9201
5643 RULE dbdc342f3d4f7725f91a0be890ef88eb_2024324122efea3648b6bd5b7b6c8547_8afb1b0ac63a4c45fbe581f025eb9201_6811dd59e0bac7a79fae997bccad672d_8afb1b0ac63a4c45fbe581f025eb9201
5664 NODE 6811dd59e0bac7a79fae997bccad672d_8afb1b0ac63a4c45fbe581f025eb9201
5704 RULE 70cc981e905ae18e1c6074578475b6a5_6811dd59e0bac7a79fae997bccad672d_8afb1b0ac63a4c45fbe581f025eb9201_3c12dc4082ac5d82f2e3b3d9b3a94fda_8afb1b0ac63a4c45fbe581f025eb9201
5733 NODE 3c12dc4082ac5d82f2e3b3d9b3a94fda_8afb1b0ac63a4c45fbe581f025eb9201
5809 RULE 433cccb048ba21c7067c9a82da6e3286_3c12dc4082ac5d82f2e3b3d9b3a94fda_8afb1b0ac63a4c45fbe581f025eb9201_1311f00b1232f3837bb8e93889e8f1b3_8afb1b0ac63a4c45fbe581f025eb9201
5849 NODE 1311f00b1232f3837bb8e93889e8f1b3_8afb1b0ac63a4c45fbe581f025eb9201
5928 RULE a53a12e87c6fc763bb9ed8bd1188ff98_1311f00b1232f3837bb8e93889e8f1b3_8afb1b0ac63a4c45fbe581f025eb9201_77360fe1d6e3764d9fb81f5d0770ad1d_8afb1b0ac63a4c45fbe581f025eb9201
5956 NODE 77360fe1d6e3764d9fb81f5d0770ad1d_8afb1b0ac63a4c45fbe581f025eb9201
5997 RULE d820eb40bb79466f33bf732077f800f2_77360fe1d6e3764d9fb81f5d0770ad1d_8afb1b0ac63a4c45fbe581f025eb9201_98991ec875b5221bbbba8d355ac00136_8afb1b0ac63a4c45fbe581f025eb9201
6017 NODE 98991ec875b5221bbbba8d355ac00136_8afb1b0ac63a4c45fbe581f025eb9201
6058 RULE d0ab7024fc8aeef39a9a6d87bc3006c1_98991ec875b5221bbbba8d355ac00136_8afb1b0ac63a4c45fbe581f025eb9201_fcb2cd25ad4d161ed564ed816f4c810b_8afb1b0ac63a4c45fbe581f025eb9201
6078 NODE fcb2cd25ad4d161ed564ed816f4c810b_8afb1b0ac63a4c45fbe581f025eb9201
6118 RULE cea77a2f7339b0ebc29955a3edd3ade3_fcb2cd25ad4d161ed564ed816f4c810b_8afb1b0ac63a4c45fbe581f025eb9201_37de22aa78f4cfc01b862061678aeef_8afb1b0ac63a4c45fbe581f025eb9201
6138 NODE 37de22aa78f4cfc01b862061678aeef_8afb1b0ac63a4c45fbe581f025eb9201
6177 RULE 5c77170dd57aa6fc00c17ee3c7e78ccd_37de22aa78f4cfc01b862061678aeef_8afb1b0ac63a4c45fbe581f025eb9201_18e391ed73527aa14f4cbc1f1376778e_8afb1b0ac63a4c45fbe581f025eb9201
6202 NODE 18e391ed73527aa14f4cbc1f1376778e_8afb1b0ac63a4c45fbe581f025eb9201
6241 RULE 6fe4dcc2b670b3076031cfa2b738a667_18e391ed73527aa14f4cbc1f1376778e_8afb1b0ac63a4c45fbe581f025eb9201_60ca8c464c2b3677a0b12034de4795b4_8afb1b0ac63a4c45fbe581f025eb9201
6261 NODE 60ca8c464c2b3677a0b12034de4795b4_8afb1b0ac63a4c45fbe581f025eb9201
6357 RULE 1b3ac4a3e11306e0d82035f93c09b566_60ca8c464c2b3677a0b12034de4795b4_8afb1b0ac63a4c45fbe581f025eb9201_c0dadc9bf45368a656b850fc886abd6a_8afb1b0ac63a4c45fbe581f025eb9201
6439 SRULE a511d8b0a618ef66e95bd00ddce4ed24_c0dadc9bf45368a656b850fc886abd6a_8afb1b0ac63a4c45fbe581f025eb9201_b680e266229ad96a00142dc9de893eda_8afb1b0ac63a4c45fbe581f025eb9201
6460 NODE b680e266229ad96a00142dc9de893eda_8afb1b0ac63a4c45fbe581f025eb9201
6499 RULE dbdc342f3d4f7725f91a0be890ef88eb_b680e266229ad96a00142dc9de893eda_8afb1b0ac63a4c45fbe581f025eb9201_46718a83f0ac36ea3ffd22131ab04315_8afb1b0ac63a4c45fbe581f025eb9201
6519 NODE 46718a83f0ac36ea3ffd22131ab04315_8afb1b0ac63a4c45fbe581f025eb9201
6559 RULE 70cc981e905ae18e1c6074578475b6a5_46718a83f0ac36ea3ffd22131ab04315_8afb1b0ac63a4c45fbe581f025eb9201_a674daf88d9151d6cb3e0c426e9c51d9_8afb1b0ac63a4c45fbe581f025eb9201
6579 NODE a674daf88d9151d6cb3e0c426e9c51d9_8afb1b0ac63a4c45fbe581f025eb9201
6619 RULE 433cccb048ba21c7067c9a82da6e3286_a674daf88d9151d6cb3e0c426e9c51d9_8afb1b0ac63a4c45fbe581f025eb9201_970243739d85ff950b123eae770bb28b_8afb1b0ac63a4c45fbe581f025eb9201
6639 NODE 970243739d85ff950b123eae770bb28b_8afb1b0ac63a4c45fbe581f025eb9201
6682 RULE a53a12e87c6fc763bb9ed8bd1188ff98_970243739d85ff950b123eae770bb28b_8afb1b0ac63a4c45fbe581f025eb9201_367d9f7c733b978363f34b959a755c8a_8afb1b0ac63a4c45fbe581f025eb9201
6703 NODE 367d9f7c733b978363f34b959a755c8a_8afb1b0ac63a4c45fbe581f025eb9201
6745 RULE d820eb40bb79466f33bf732077f800f2_367d9f7c733b978363f34b959a755c8a_8afb1b0ac63a4c45fbe581f025eb9201_37c4d53e29d69239a26102f323ce9485_8afb1b0ac63a4c45fbe581f025eb9201
6765 NODE 37c4d53e29d69239a26102f323ce9485_8afb1b0ac63a4c45fbe581f025eb9201
6805 RULE fcc932f6797bec5c4fa9a0919113472d_37c4d53e29d69239a26102f323ce9485_8afb1b0ac63a4c45fbe581f025eb9201_e19474e65ba8596fc0065cf57d88d544_8afb1b0ac63a4c45fbe581f025eb9201
6827 NODE e19474e65ba8596fc0065cf57d88d544_8afb1b0ac63a4c45fbe581f025eb9201
6867 RULE cea77a2f7339b0ebc29955a3edd3ade3_e19474e65ba8596fc0065cf57d88d544_8afb1b0ac63a4c45fbe581f025eb9201_aac972b659e2617cc80c9b6a0699de82_8afb1b0ac63a4c45fbe581f025eb9201
6886 NODE aac972b659e2617cc80c9b6a0699de82_8afb1b0ac63a4c45fbe581f025eb9201
6925 RULE 5c77170dd57aa6fc00c17ee3c7e78ccd_aac972b659e2617cc80c9b6a0699de82_8afb1b0ac63a4c45fbe581f025eb9201_11845a226ef320a39381d1a4dcbd5460_8afb1b0ac63a4c45fbe581f025eb9201
6945 NODE 11845a226ef320a39381d1a4dcbd5460_8afb1b0ac63a4c45fbe581f025eb9201
6983 RULE eda72887d51466ca12ef9fb370a5f983_11845a226ef320a39381d1a4dcbd5460_8afb1b0ac63a4c45fbe581f025eb9201_854d35af65305d1425f4e81a7f68be48_8afb1b0ac63a4c45fbe581f025eb9201
7005 NODE 854d35af65305d1425f4e81a7f68be48_8afb1b0ac63a4c45fbe581f025eb9201
7101 RULE 1b3ac4a3e11306e0d82035f93c09b566_854d35af65305d1425f4e81a7f68be48_8afb1b0ac63a4c45fbe581f025eb9201_9b0f3c97df021ccc32c20c7083f3a414_8afb1b0ac63a4c45fbe581f025eb9201
7126 NODE 9b0f3c97df021ccc32c20c7083f3a414_8afb1b0ac63a4c45fbe581f025eb9201
7165 RULE 810e9f9121da2b5da54a7b43a369b33_9b0f3c97df021ccc32c20c7083f3a414_8afb1b0ac63a4c45fbe581f025eb9201_7f571cabe5fbdd06f753cf5510f78256_8afb1b0ac63a4c45fbe581f025eb9201
7185 NODE 7f571cabe5fbdd06f753cf5510f78256_8afb1b0ac63a4c45fbe581f025eb9201
7223 RULE dbdc342f3d4f7725f91a0be890ef88eb_7f571cabe5fbdd06f753cf5510f78256_8afb1b0ac63a4c45fbe581f025eb9201_9a7d65765e1b8cd0003742a8ade564a_8afb1b0ac63a4c45fbe581f025eb9201
7243 NODE 9a7d65765e1b8cd0003742a8ade564a_8afb1b0ac63a4c45fbe581f025eb9201
7281 RULE 70cc981e905ae18e1c6074578475b6a5_9a7d65765e1b8cd0003742a8ade564a_8afb1b0ac63a4c45fbe581f025eb9201_1c05761dec9614cc8fab9174b1b53b2c_8afb1b0ac63a4c45fbe581f025eb9201
7302 NODE 1c05761dec9614cc8fab9174b1b53b2c_8afb1b0ac63a4c45fbe581f025eb9201
