0 OPEN 
4253 RULE d0ab7024fc8aeef39a9a6d87bc3006c1_8da52a7ec907e32b15fc73a793b084fd_58c1911eea90f13659ace26e582853fe_b83a23d52991c89c4d4a7aea6be36fff_58c1911eea90f13659ace26e582853fe
4255 NODE b83a23d52991c89c4d4a7aea6be36fff_58c1911eea90f13659ace26e582853fe
4288 RULE cea77a2f7339b0ebc29955a3edd3ade3_b83a23d52991c89c4d4a7aea6be36fff_58c1911eea90f13659ace26e582853fe_5da57e39ee30d04943f4171ed44350a1_58c1911eea90f13659ace26e582853fe
4290 NODE 5da57e39ee30d04943f4171ed44350a1_58c1911eea90f13659ace26e582853fe
4320 RULE 5c77170dd57aa6fc00c17ee3c7e78ccd_5da57e39ee30d04943f4171ed44350a1_58c1911eea90f13659ace26e582853fe_1fe2bd261d12c5409c4b0389304715ca_58c1911eea90f13659ace26e582853fe
4323 NODE 1fe2bd261d12c5409c4b0389304715ca_58c1911eea90f13659ace26e582853fe
4354 RULE 6fe4dcc2b670b3076031cfa2b738a667_1fe2bd261d12c5409c4b0389304715ca_58c1911eea90f13659ace26e582853fe_4bc28a6bd99a878a5b8f02a52e702692_58c1911eea90f13659ace26e582853fe
4356 NODE 4bc28a6bd99a878a5b8f02a52e702692_58c1911eea90f13659ace26e582853fe
4447 RULE 1b3ac4a3e11306e0d82035f93c09b566_4bc28a6bd99a878a5b8f02a52e702692_58c1911eea90f13659ace26e582853fe_677fc988d2ee46227c33547d72ddfb03_58c1911eea90f13659ace26e582853fe
4568 SRULE a511d8b0a618ef66e95bd00ddce4ed24_677fc988d2ee46227c33547d72ddfb03_58c1911eea90f13659ace26e582853fe_6132ba6bd07e8a8bf7c716e4b38b6023_58c1911eea90f13659ace26e582853fe
4570 NODE 6132ba6bd07e8a8bf7c716e4b38b6023_58c1911eea90f13659ace26e582853fe
4602 RULE dbdc342f3d4f7725f91a0be890ef88eb_6132ba6bd07e8a8bf7c716e4b38b6023_58c1911eea90f13659ace26e582853fe_5c37fa55b53e4203b8a09b852db57e0f_58c1911eea90f13659ace26e582853fe
4604 NODE 5c37fa55b53e4203b8a09b852db57e0f_58c1911eea90f13659ace26e582853fe
